###Input_File	Marker	keep_Audio	Start_formatiert	Ende_formatiert	Start_(sek.)	Ende_(sek.)	Länge_(sek.)	Beschreibung	Ort	Lokation	DateTime	AddToStart	1
000_IdLjH_iPh16e_5387.jpg		no	0:00	0:05	0	5	5		Hannover	Herrenhausen	21.4.26 (Di) 11:22		
GgQkW_iPh16e_5312.jpg		no	0:05	0:10	5	10	5		Gerolfingen	Hesselberg	11.4.26 (Sa) 13:06		
GgRcH_iPh16e_5314.jpg		no	0:10	0:15	10	15	5		Gerolfingen	Hesselberg	11.4.26 (Sa) 13:13		
GgRfI_iPh16e_5315.jpg		no	0:15	0:20	15	20	5		Gerolfingen	Hesselberg	11.4.26 (Sa) 13:14		
GgVsZ_iPh16e_5319.jpg		no	0:20	0:25	20	25	5		Gerolfingen	Hesselberg	11.4.26 (Sa) 14:05		
GgVwB_iPh16e_5320.jpg		no	0:25	0:30	25	30	5		Gerolfingen	Hesselberg	11.4.26 (Sa) 14:07		
GhMgZ_iPh16e_5322.jpg	x	no	0:30	0:35	30	35	5		Oberscheinfeld		11.4.26 (Sa) 17:12		
GhMkW_iPh16e_5323.jpg		no	0:35	0:40	35	40	5		Oberscheinfeld		11.4.26 (Sa) 17:13		
GiBdE_iPh16e_5325.jpg		no	0:40	0:45	40	45	5		Oberscheinfeld		11.4.26 (Sa) 19:59		
GkUsN_iPh16e_5326.jpg		no	0:45	0:50	45	50	5		Oberscheinfeld		12.4.26 (So) 9:26		
GmVjD_iPh7_4307.jpg	x	no	0:50	0:55	50	55	5		Heldburg		12.4.26 (So) 19:19		
GpPgL_iPh16e_5328.jpg		no	0:55	1:00	55	60	5	In Heldburg westlich von Coburg	Heldburg		13.4.26 (Mo) 8:49		
GpWmH_iPh16e_5329.jpg		no	1:00	1:05	60	65	5	Bei Eicha/Römhild südwestlich von Hildburghausen	Römhild	Eicha	13.4.26 (Mo) 10:10		
GqHwE_iPh16e_5330.jpg	x	no	1:05	1:10	65	70	5		Römhild	Gleichberge	13.4.26 (Mo) 12:18		
GqKtA_iPh16e_5335.jpg		no	1:10	1:15	70	75	5		Römhild	Gleichberge	13.4.26 (Mo) 12:51		
GqLfW_iPh16e_5337.jpg		no	1:15	1:20	75	80	5		Römhild	Gleichberge	13.4.26 (Mo) 12:56		
GqLqY_iPh16e_5339.jpg		no	1:20	1:25	80	85	5		Römhild	Gleichberge	13.4.26 (Mo) 13:01		
GqLyC_iPh16e_5341.jpg		no	1:25	1:30	85	90	5		Römhild	Gleichberge	13.4.26 (Mo) 13:04		
GqMuI_iPh16e_5345.jpg		no	1:30	1:35	90	95	5		Römhild	Gleichberge	13.4.26 (Mo) 13:14		
GrBqJ_iPh16e_5346.jpg		no	1:35	1:40	95	100	5		Vachdorf		13.4.26 (Mo) 16:01		
GvOgE_iPh16e_5347.jpg	x	no	1:40	1:45	100	105	5	Spaziergang an der Werra in Walldorf bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 13:55		
GvOqJ_iPh16e_0089.mp4		yes	1:45	2:02	105	122	17			0000:00:00 00:00:00			
GvOrY_iPh16e_5350.jpg		no	2:02	2:07	122	127	5		Meiningen	Walldorf	14.4.26 (Di) 14:00		
GvOzL_iPh16e_5352.jpg		no	2:07	2:12	127	132	5	Spaziergang an der Werra in Walldorf bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 14:03		
GvScZ_iPh16e_5354.jpg		no	2:12	2:17	132	137	5		Meiningen	Walldorf	14.4.26 (Di) 14:39		
GvTiU_M50_0142.jpg		no	2:17	2:22	137	142	5	In Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 14:52		
GvTnQ_M50_0144.jpg	x	no	2:22	2:27	142	147	5	Die Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 14:55		
GvTtW_M50_0149.jpg		no	2:27	2:32	147	152	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 14:57		
GvTvH_M50_0151.jpg		no	2:32	2:37	152	157	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 14:58		
GvUaA_M50_0155.jpg		no	2:37	2:42	157	162	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:00		
GvUcN_M50_0156.jpg		no	2:42	2:47	162	167	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:01		
GvUeB_iPh16e_0090.mp4		yes	2:47	3:11	167	190.625	23.625			0000:00:00 00:00:00			
GvUlQ_M50_0159.jpg		no	3:11	3:16	190.625	195.625	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:05		
GvUoE_M50_0160.jpg		no	3:16	3:21	195.625	200.625	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:06		
GvUqO_M50_0161.jpg		no	3:21	3:26	200.625	205.625	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:07		
GvUrY_M50_0162.jpg		no	3:26	3:31	205.625	210.625	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:08		
GvUuU_M50_0163.jpg		no	3:31	3:36	210.625	215.625	5	In Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:09		
GvUvH_M50_0164.jpg		no	3:36	3:41	215.625	220.625	5	In Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:09		
GvUxQ_M50_0167.jpg		no	3:41	3:46	220.625	225.625	5	Die Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:10		
GvUzX_M50_0168.jpg		no	3:46	3:51	225.625	230.625	5	In der Kirchenburg in Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:11		
GvViE_M50_0170.jpg		no	3:51	3:56	230.625	235.625	5	In Walldorf an der Werra bei Meiningen	Meiningen	Walldorf	14.4.26 (Di) 15:15		
GzIaL_iPh16e_5357.jpg		no	3:56	4:01	235.625	240.625	5		Erbenhausen	Reichenhausen	15.4.26 (Mi) 8:17		
GzIlU_iPh16e_5358.jpg		no	4:01	4:06	240.625	245.625	5		Erbenhausen	Reichenhausen	15.4.26 (Mi) 8:22		
HbPdK_iPh16e_5360.jpg	x	no	4:06	4:11	245.625	250.625	5		Frankenheim	Birx	15.4.26 (Mi) 19:23		
HbPgE_iPh16e_5362.jpg		no	4:11	4:16	250.625	255.625	5		Frankenheim	Birx	15.4.26 (Mi) 19:24		
HbPyX_iPh16e_0093.mp4		yes	4:16	4:33	255.625	273.417	17.792			0000:00:00 00:00:00			
HbQaL_iPh16e_5364.jpg		no	4:33	4:38	273.417	278.417	5		Frankenheim	Birx	15.4.26 (Mi) 19:33		
